NX101, Declaration, maindoc/NX101.xsd, R-01-00, 產證申辦訊息
NX102, Response, maindoc/NX102.xsd, R-00-01, 產證核覆訊息
N5171, Response, maindoc/N5171.xsd, R-02-00, 空運進口快遞貨物點貨資料
N5101, Declaration, maindoc/N5101.xsd, R-01-01, 進（轉）口貨物主艙單
N5101H, Declaration, maindoc/N5101H.xsd, R-00-02, 進（轉）口貨物分艙單
N5101X, Declaration, maindoc/N5101X.xsd, R-01-00, 進口貨物快遞分艙單
N5102, Declaration, maindoc/N5102.xsd, R-00-03, 進（轉）口貨物進倉資料
N5103, Declaration, maindoc/N5103.xsd, R-00-05, 艙位配置圖
N5107, Response, maindoc/N5107.xsd, R-00-05, 應補辦事項通知
N5108, Response, maindoc/N5108.xsd, R-00-05, 倉儲、承攬或運輸業申報訊息回覆通知
N5109, Response, maindoc/N5109.xsd, R-00-04, 查驗貨物通知
N5110, Response, maindoc/N5110.xsd, R-00-05, 進口貨物稅費繳納證兼匯款申請書
N5111, Response, maindoc/N5111.xsd, R-00-05, 國庫專戶存款收款書兼匯款申請書
N5116, Response, maindoc/N5116.xsd, R-00-05, 進口貨物放行通知
N5117, Declaration, maindoc/N5117.xsd, R-00-05, 進口貨物出倉資料
N5135, Declaration, maindoc/N5135.xsd, R-00-04, 進口快遞貨物簡易申報單
N5151, Declaration, maindoc/N5151.xsd, R-00-03, 預報船舶資料
N5158, Response, maindoc/N5158.xsd, R-01-00, 卸貨准單
N5162, Declaration, maindoc/N5162.xsd, R-00-03, 進口貨物短溢卸報告
N5165, Declaration, maindoc/N5165.xsd, R-00-04, 貨櫃（物）運送單
N5166, Response, maindoc/N5166.xsd, R-00-04, 貨櫃(物)清單
N5167, Declaration, maindoc/N5167.xsd, R-00-03, 進口貨物查驗申請書
N5168, Declaration, maindoc/N5168.xsd, R-00-03, 無法吊櫃通知
N5170, Response, maindoc/N5170.xsd, R-01-00, 作業指示通知
N5201, Declaration, maindoc/N5201.xsd, R-00-03, 出口貨物進倉資料
N5202, Declaration, maindoc/N5202.xsd, R-00-05, 出口貨物艙單
N5203, Declaration, maindoc/N5203.xsd, R-00-05, 出口報單
N5204, Response, maindoc/N5204.xsd, R-00-03, 出口貨物放行通知
N5205, Declaration, maindoc/N5205.xsd, R-01-00, 出口快遞貨物簡易申報單
N5251, Declaration, maindoc/N5251.xsd, R-00-02, 出口船舶開航預報單
N5262, Declaration, maindoc/N5262.xsd, R-01-00 ,出口裝船清表
N5301, Declaration, maindoc/N5301.xsd, R-01-01, 轉運申請書
N5302, Response, maindoc/N5302.xsd, R-01-00, 轉運准單
